"","x"
"1",0.0311730488095536
"2",0.0375881674916263
"3",0.0220863764867946
"4",0.0136470069621711
"5",0.0150982628958028
"6",0.0261714929724765
"7",0.0359771028477492
"8",0.0246918729731868
"9",0.016308263563419
"10",0.0241091888731204
"11",0.0162563524244147
"12",0.0213493999052873
"13",0
"14",0.0139361225688988
"15",0.0213398462509588
"16",0.0167575486963428
"17",0.0221832448894768
"18",0.0204766509412958
"19",0.0212991683865792
"20",0.0256536026462449
"21",0.0178265083039369
"22",0.0322409394101734
"23",0.0113389468411703
"24",0.0244788403652358
"25",0.0194068306891575
"26",0.0226164357078782
"27",0.0206088071127947
"28",0.0173456337098525
"29",0.0151180049844932
"30",0.0199068688183622
"31",0.0215108431105127
"32",0
"33",0.0160019372668341
"34",0.0163682527265497
"35",0.0222971813379108
"36",0.0131866149429394
"37",0.0139528504031615
"38",0.0191586103220819
"39",0.0205609723100221
"40",0.0103256515312364
"41",0.0149046328214047
"42",0.0191065187765916
"43",0.0178977077306137
"44",0.0181275431618456
"45",0.0158717107871579
"46",0.01975345933153
"47",0.0168465906805548
"48",0.0136066451130227
"49",0.0109668220425985
"50",0.031403625085788
"51",0.0251111134261099
"52",0.0249524577417305
"53",0.0276843533140638
"54",0.0272763705097503
"55",0.0233872576551653
"56",0.0101879824631198
"57",0
"58",0.0218383621006935
"59",0.0216430632299178
"60",0.0140192576993277
"61",0.0213380856719825
"62",0.0165107775145639
"63",0.00784252643123674
"64",0.0124852398125638
"65",0.0116889843190543
"66",0.0162701490664836
"67",0.0150037549245008
"68",0
"69",0.0143808063028383
"70",0.00848465495287257
"71",0.0172102741350433
"72",0.0188949856412818
"73",0.0168116523367901
"74",0.0135610279628092
"75",0.0116901794364214
"76",0.0129289493078007
"77",0.0160094834046238
"78",0.0163064659394991
"79",0.00985306984661058
"80",0.00772625482013321
"81",0.0164122979686282
"82",0.0156260241879997
"83",0.0141633750186871
"84",0.0116548958920789
"85",0.00992167824474441
"86",0.0138155835254657
"87",0.00918237537983406
"88",0.0106726458951858
"89",0.0173346005040339
"90",0.0149099922039102
"91",0.011475836556839
"92",0.0141239939323162
"93",0.00887826271168001
"94",0.0190014753866402
"95",0.0147242701204216
"96",0.0132622126999118
"97",0.0109040102090588
"98",0.0153184920271255
"99",0.0177213159009628
"100",0.0190961752070411
"101",0.0116782418190541
"102",0
"103",0.0264054892034395
"104",0.0193648561147819
"105",0.0140301621944363
"106",0.0145165101481788
"107",0.0218651180625102
"108",0.0125563065742239
"109",0.00787106848810492
"110",0.0129678189849749
"111",0.0113351379760182
"112",0.0138074165167077
"113",0.0156575078097666
"114",0.0175521097573755
"115",0.0179068166232674
"116",0.0183225197679263
"117",0.0097969067543365
"118",0
"119",0.0170787596637468
"120",0.0248307333955195
"121",0.0127337410869962
"122",0.0214624353233852
"123",0.0206199580167278
"124",0.024769246756495
"125",0.0190385530461403
"126",0
"127",0.0200972773635528
"128",0.0195270846903812
"129",0.0159515561201737
"130",0.0114204348213355
"131",0.0138050381120196
"132",0.0119133638232629
"133",0.00969336645390725
"134",0.0121989214511645
"135",0.0246746868126671
"136",0.0185262202672011
"137",0.0218840380445741
"138",0.0245462705413503
"139",0.0324644239836043
"140",0.0279290319674121
"141",0.0227203851605124
"142",0
"143",0.0257160081523856
"144",0.0148352650351745
"145",0.0111653685631356
"146",0.0229227106743581
"147",0.0182042151514197
"148",0.0204701559535685
"149",0.00994182997674157
"150",0.0150799891200208
"151",0.0234943629304387
"152",0.0346385006216493
"153",0.0219641835687058
"154",0
"155",0.0334242446439764
"156",0.0248990502891683
"157",0.0160102049107474
"158",0.0324876390896072
"159",0.0329476011650562
"160",0.0130620777035263
"161",0
"162",0.0189708988447301
"163",0
"164",0.00469258356739604
"165",0.0116420601707554
"166",0.00861876220319382
"167",0.0194137727553389
"168",0.0147207964223078
"169",0.0172251848161564
"170",0.0171963467826918
"171",0.0128510860845377
"172",0.0188803043991277
"173",0.0172535620025572
"174",0.0205449348456331
"175",0.0113539648059607
"176",0.0138720726790921
"177",0.0120168114375189
"178",0.0172672798964056
"179",0.0213494110322837
"180",0.00223935082328424
"181",0.0292576249096327
"182",0.024900102325854
"183",0.0204911277943898
"184",0.0203622950487709
"185",0.0165149749044068
"186",0.017537520669702
"187",0.0245116561758916
"188",0.0249871891568149
"189",0.0102776692484464
"190",0.0142572328809664
"191",0.0146820613821298
"192",0.0286960028891083
"193",0.0156246549641754
"194",0.0110579712217337
"195",0.0241814722890045
"196",0.0182202359588058
"197",0.0181279400470114
"198",0.019902125342015
"199",0.0214248875081838
"200",0.0211701400065296
"201",0.0126850424086338
"202",0.0283865772511715
"203",0.0135210947525587
"204",0.0172375351374105
"205",0.0155246495186035
"206",0.0211165790343176
"207",0.0190353583408734
"208",0.0162400503431361
"209",0.0139881898424562
"210",0.0156239214896912
"211",0.0191423026190723
"212",0.0153175885245488
"213",0.0139206217134228
"214",0.00854850691083957
"215",0.0222906245840723
"216",0.011134945398213
"217",0.0164183928808773
"218",0.0133767385316857
"219",0.0203260552276442
"220",0.0173604821466083
"221",0.0134995236788115
"222",0.022521074362855
"223",0.0158509746777237
"224",0.0183178021252944
"225",0.0172394451583685
"226",0.0162228862737121
"227",0.015440911544217
"228",0.0181103086904235
"229",0.00877310420933463
"230",0.0280914177671084
"231",0.0213981151526651
"232",0.0212419597296325
"233",0.0213156724849869
"234",0.0212232909436171
"235",0.0255612899992229
"236",0.0108580656024403
"237",0
"238",0.0201717990825948
"239",0.0180934110538273
"240",0.0110116327854342
"241",0.0201111228312099
"242",0.0175577472531994
"243",0.0126748184130373
"244",0.0169712441224332
"245",0.0164567347965146
"246",0.0108762223615513
"247",0.0216397479588142
"248",0.0176143768292833
"249",0.0177534849232294
"250",0.0189328733757773
"251",0.0156525245876357
"252",0.0139947791201767
"253",0.0203227291837372
"254",0.0199825664376484
"255",0
"256",0.0229742253373281
"257",0.0126975030921937
"258",0.00830493367711127
"259",0.0108404908171161
"260",0.0105874792090862
"261",0.0126940724450382
"262",0.0122677434170019
"263",0.0162053618551112
"264",0.0139610410084754
"265",0.0213146001782278
"266",0.0142638939285585
"267",0.0067110899008047
"268",0.0161097376607117
"269",0
"270",0.0193801940727715
"271",0.0170049880013626
"272",0.0143006249550843
"273",0.0118986034646734
"274",0.0138137319959218
"275",0.0139492185184453
"276",0.0151981894028332
"277",0.00824655886974828
"278",0.017122212993263
"279",0.0166656729476388
"280",0.0166332585937824
"281",0.0142341707045427
"282",0.0149391537967764
"283",0.0218179642549966
"284",0.016363126819875
"285",0.0134537600618137
"286",0.0195593662005243
"287",0.0170298758807116
"288",0.0178285635267233
"289",0
"290",0
"291",0.0118280257236472
