"","x"
"1",0.0400672542929586
"2",0.0586340994697541
"3",0.0419667647149635
"4",0.0228316974178268
"5",0.0286360830551717
"6",0.0433536860451781
"7",0.0521277846688831
"8",0.0365073283806332
"9",0.0385827087317231
"10",0.0370255900240251
"11",0.0216397767728368
"12",0.0486960028426404
"13",0
"14",0.0277535657184389
"15",0.0292497535175576
"16",0.0280590809284265
"17",0.0362344574231499
"18",0.041931479472449
"19",0.0339320605823182
"20",0.0345115501696874
"21",0.0390900358039278
"22",0.0357615643217917
"23",0.0215900899352002
"24",0.030540181380124
"25",0.0210039304581718
"26",0.0349518744935607
"27",0.0331277585990463
"28",0.0232433941608223
"29",0.0205957992782332
"30",0.0231498283299729
"31",0.0272254701563601
"32",0
"33",0.0186528310990648
"34",0.0253716670085297
"35",0.0439628211195754
"36",0.0327753823053274
"37",0.0231355392493127
"38",0.033767194479789
"39",0.0408555601025597
"40",0.0249297484474929
"41",0.024521042808721
"42",0.0330919776289847
"43",0.0255041026132634
"44",0.0208330403886428
"45",0.0240079520732478
"46",0.0314265719433671
"47",0.0339576524092555
"48",0.0244536254553664
"49",0.0274038401833383
"50",0.0507616224240627
"51",0.0372703529825431
"52",0.0371191552939349
"53",0.0389350033912609
"54",0.0377534059887854
"55",0.0382323888951142
"56",0.0216737941005684
"57",0
"58",0.0281697883368396
"59",0.0325108131545698
"60",0.0252949256799115
"61",0.0276812587414401
"62",0.0267175659075006
"63",0.0211728151889493
"64",0.0193911110681754
"65",0.0213053728644385
"66",0.0210595041600271
"67",0.0261709656713563
"68",0
"69",0.0192677221937852
"70",0.0206272587796303
"71",0.0201274417019459
"72",0.0295278522793037
"73",0.0253194674808801
"74",0.0169884141559391
"75",0.0163270406814521
"76",0.0207470526902608
"77",0.0278142783282024
"78",0.0233117540033555
"79",0.0231828484632179
"80",0.0225707486522372
"81",0.0224138556253531
"82",0.02833793681609
"83",0.0242312538340034
"84",0.0241237047924204
"85",0.0283459525487887
"86",0.0224581357416202
"87",0.022960997965771
"88",0.0264370643470254
"89",0.0231260245726135
"90",0.0273339186088823
"91",0.0159830240215529
"92",0.0165501344088353
"93",0.0153649106731946
"94",0.0334562749483815
"95",0.0313888448804339
"96",0.020905576777934
"97",0.0208749914185652
"98",0.0325336526241887
"99",0.0386107961532038
"100",0.0317675094779125
"101",0.0284911663901385
"102",0
"103",0.0330228379810325
"104",0.0298355668683538
"105",0.0314852496589167
"106",0.0312634624875233
"107",0.0368389450589451
"108",0.0362200883342133
"109",0.0121056430307285
"110",0.0177434001180797
"111",0.015177768813908
"112",0.0338891838621414
"113",0.0304986271335385
"114",0.0362997655434482
"115",0.031030623865686
"116",0.0299672602320377
"117",0.0106208344639143
"118",0
"119",0.0167318002353738
"120",0.0333204149893022
"121",0.0232648538074153
"122",0.0275538049458894
"123",0.0310922067887
"124",0.0362296428059893
"125",0.0188040998390368
"126",0
"127",0.0274868017860514
"128",0.0333292463365056
"129",0.0204851766835538
"130",0.0230224957408733
"131",0.0215296572696205
"132",0.0265898762238348
"133",0.0241190937901635
"134",0.0288874141647022
"135",0.0391920301826589
"136",0.0284079917257165
"137",0.0345462809681152
"138",0.0359407776829971
"139",0.0464627697389212
"140",0.0347290188691989
"141",0.0371180615611252
"142",0
"143",0.0272445942014365
"144",0.0217490015606828
"145",0.0295418779767119
"146",0.0388847332612598
"147",0.0319136152580778
"148",0.025801531743081
"149",0.0219625490215427
"150",0.0245103646823009
"151",0.0342696708917608
"152",0.0555656708812498
"153",0.0446023813259998
"154",0
"155",0.0443610145426669
"156",0.0418429866588508
"157",0.0368379260949889
"158",0.0481874251186482
"159",0.0427842633684349
"160",0.0238761459353077
"161",0
"162",0.0317587641314124
"163",0
"164",0.011445875527786
"165",0.0121869721647201
"166",0.0218619252665448
"167",0.0345068283583659
"168",0.0199381410603867
"169",0.0250117087889588
"170",0.0192134440634757
"171",0.0168687163532498
"172",0.0228227154070387
"173",0.0300952724637446
"174",0.0366079994815644
"175",0.0190951591708927
"176",0.0205714691091321
"177",0.0218791035337821
"178",0.027261488110082
"179",0.0321373094917516
"180",0.00381397730871128
"181",0.0449440459956959
"182",0.0463266920995186
"183",0.0379016899358927
"184",0.0392022593757239
"185",0.0264258276493295
"186",0.0393589580403057
"187",0.0442961337671042
"188",0.0435950869523613
"189",0.0234546362655656
"190",0.031890966469717
"191",0.016857143056296
"192",0.0495409402591204
"193",0.0301890481467288
"194",0.0257612310723834
"195",0.0365513753172314
"196",0.0297395559904377
"197",0.038925733683933
"198",0.0475857785811863
"199",0.0406808677217973
"200",0.031406110511225
"201",0.0340434711386857
"202",0.0422067558006907
"203",0.0221282388809496
"204",0.0191821219961318
"205",0.015546614250928
"206",0.025931444327688
"207",0.033890304014972
"208",0.0205521100565791
"209",0.0251736970040492
"210",0.0216266111775402
"211",0.023853146273484
"212",0.0208858218140567
"213",0.0232397775457719
"214",0.0237819934423564
"215",0.0380342250750644
"216",0.0234924105127273
"217",0.0231914807553955
"218",0.0271731854833056
"219",0.0378718418106312
"220",0.0267513153962644
"221",0.0270884427774918
"222",0.0365409388379821
"223",0.0211080182602824
"224",0.0201003859176405
"225",0.0243565777444148
"226",0.0355310060197385
"227",0.0313761855001414
"228",0.0289342050773244
"229",0.0218732344039064
"230",0.0546072607922327
"231",0.0423967443950856
"232",0.0389705174820134
"233",0.0336834248135952
"234",0.0311160333863104
"235",0.0440127290416163
"236",0.0157792596967966
"237",0
"238",0.026167486703172
"239",0.0306832541621666
"240",0.0231260245330241
"241",0.0305858847803231
"242",0.028747730948855
"243",0.0231179072769429
"244",0.0215671319593205
"245",0.0278748221642296
"246",0.0233089036048824
"247",0.0279846729608156
"248",0.0243746983007879
"249",0.0214037614399074
"250",0.0221395593728606
"251",0.0181114835844369
"252",0.0203591391120291
"253",0.0231635639106037
"254",0.0226115309145457
"255",0
"256",0.0305531266503096
"257",0.0246072831868771
"258",0.0187609555700396
"259",0.0212137980521808
"260",0.0217812912449127
"261",0.0249396915211796
"262",0.0187686470098236
"263",0.0348713432378838
"264",0.0284907275863916
"265",0.0404220415166726
"266",0.0192899107265978
"267",0.0132282502970955
"268",0.0295913163074526
"269",0
"270",0.036957121583336
"271",0.0246365184295214
"272",0.0169722087701177
"273",0.01953363438081
"274",0.0246223793551676
"275",0.0264913542476931
"276",0.0254760697054109
"277",0.0261083407911348
"278",0.0317103927424022
"279",0.0358175875291446
"280",0.0315380739848191
"281",0.0283829514050405
"282",0.0185012769125278
"283",0.0297085487797616
"284",0.0266855412947751
"285",0.0212076311861961
"286",0.0350192340527602
"287",0.0305930421403766
"288",0.019916740624654
"289",0
"290",0
"291",0.0136605394692902
"292",0.0279053101150689
"293",0.0254228379869194
"294",0.0256526976801146
"295",0.0299742839817343
"296",0.0264230833110328
"297",0.0129001340286547
"298",0.0176309568508204
"299",0.0187227543132063
"300",0.0383114671346259
"301",0.0257026443367381
"302",0.0315653143123888
"303",0.0329923470128512
"304",0.0345981590674871
"305",0.0147057213704059
"306",0.0235010967212905
"307",0.0246799639019015
"308",0.032646193562015
"309",0.0210376014132056
"310",0.0274862999757226
"311",0.0169641693333383
"312",0.0235811128030383
"313",0.0212586120642986
"314",0.0196651849360737
"315",0.0345144346216895
"316",0.0246723371156081
"317",0.0364811343495711
"318",0.0354890890372918
"319",0.0443773218307052
"320",0.0354556038561782
"321",0.0303874240125955
"322",0
"323",0.0175018521991784
"324",0.0181410844089649
"325",0.0299221925306379
"326",0.0297532247169519
"327",0.0246345800838848
"328",0.0250069865205483
"329",0.0265680503247846
"330",0.0287813499593184
"331",0.0407226936195755
"332",0.0371653730357445
"333",0.0443127072744347
"334",0.0183919117614999
"335",0.0449233194616445
"336",0.0482098751493881
"337",0.0271377032835662
"338",0.0543151113536725
"339",0.0411164703221331
"340",0.0231826440427844
"341",0.0279844906620268
"342",0.0300931522273705
"343",0.0114291387807866
"344",0.0170033028295738
"345",0
"346",0.0171672909208849
"347",0.0197829815321564
"348",0
"349",0.027288084269383
"350",0.0247640951943231
"351",0.0179400133657783
"352",0.0242489720849206
"353",0.0228293651007721
"354",0.0395560885871277
"355",0.0237993265471923
"356",0.0215051842611774
"357",0.0218200720476331
"358",0.0262955111841486
"359",0.0270483507852441
"360",NA
"361",NA
"362",NA
"363",NA
"364",NA
"365",NA
"366",NA
"367",0.0178114726696979
"368",NA
"369",NA
"370",NA
"371",NA
"372",NA
"373",NA
"374",NA
"375",NA
"376",0.0184015064978147
"377",0.0179610061681967
"378",0.0245186914599284
"379",0.019775185896021
"380",0.0123758387730069
"381",0.0246480147386962
"382",NA
"383",0.0143803083479391
"384",0.0148772314372285
"385",0
"386",NA
"387",0.0146198948414788
"388",NA
"389",NA
"390",NA
"391",0.0158196566540309
"392",NA
"393",NA
"394",0
"395",NA
"396",0.0344329842227031
"397",NA
"398",NA
"399",NA
"400",0
"401",NA
"402",0
"403",0.0174290751066126
"404",0.0186926783513607
"405",0.0194172905981002
"406",0.0222325826275051
"407",0
"408",0.0231787838745891
"409",NA
"410",0.0138304489300102
"411",0.0150921740675979
"412",0
"413",NA
"414",NA
"415",NA
"416",NA
"417",NA
"418",NA
"419",NA
"420",NA
"421",NA
"422",NA
"423",0.0305723473175163
"424",NA
"425",NA
"426",NA
"427",NA
"428",NA
"429",NA
"430",NA
"431",NA
"432",NA
"433",NA
"434",NA
"435",NA
"436",NA
"437",NA
"438",NA
"439",NA
"440",NA
"441",0.0248104555377129
"442",NA
"443",NA
"444",NA
"445",NA
"446",0.0360074017192721
"447",0.0270646349938034
"448",0.0333116408446174
"449",0.0300141830948023
"450",0.0271064956794522
"451",0.0281927801645169
"452",0.0414336574706144
"453",0.0422219500615406
"454",0.0253515349309382
"455",0.0239084005368152
"456",0.017840988525294
"457",0.0253874685217676
"458",0.0177885438143874
"459",0
"460",0.0291725168104321
"461",0.0294026233656333
"462",0.0214983677774595
"463",0.031645346730711
"464",0.0264576873206905
"465",0.0202457831169322
"466",0.0312584164744851
"467",0.0111908041697481
"468",0.0226140509902579
"469",0.0287145691316882
"470",0.0190325497520649
"471",0.0271879630676879
"472",0.0393706242687792
"473",0
"474",0.0257351948313323
"475",0.0172321489795262
"476",0.0282742959211834
"477",0.0319086971326296
"478",0.0219812564149705
"479",0
"480",0.0418552054060456
"481",0.0293851327191737
