"","x"
"1",0.376903492573523
"2",0.443375457777136
"3",0.400693640249448
"4",0.294096825241768
"5",0.502942128412193
"6",0.47700173168282
"7",0.417779072080045
"8",0.427699596560112
"9",0.489179336096497
"10",0.332194165618996
"11",0.365580426489177
"12",0.678951375286136
"13",0
"14",0.55028989351072
"15",0.351152037038882
"16",0.351242569944818
"17",0.37464694619232
"18",0.45477588350903
"19",0.426143030547597
"20",0.403425211260718
"21",0.542850902318752
"22",0.208310758096756
"23",0.308782957112193
"24",0.130957484672443
"25",0.38104304755367
"26",0.59322491255735
"27",0.230649764320069
"28",0.296267513247515
"29",0.501388384701808
"30",0.305950389133512
"31",0.128361603499173
"32",0.16682588725041
"33",0.129306369159874
"34",0.116241742905231
"35",0.705901421160072
"36",0.504667094258091
"37",0.250966926464053
"38",0.49216740352761
"39",0.525221149317346
"40",0.525546693946925
"41",0.361058444276917
"42",0.432668855176743
"43",0.106327689497055
"44",0.243091676891749
"45",0
"46",0.495836780910722
"47",0.58879891046124
"48",0.549115428566519
"49",0.42122860679347
"50",0.407204894058156
"51",0.424201196164764
"52",0.408937785047632
"53",0.311334889714228
"54",0.242049704487315
"55",0.492635279592623
"56",0.535099799470505
"57",0.247509386857698
"58",0.25284396208294
"59",0.447907394088175
"60",0.192867414909659
"61",0.175514605071192
"62",0.400859579448145
"63",0.562482195765354
"64",0.218856342906561
"65",0.514210564732254
"66",0.306403718639362
"67",0.508393852615787
"68",0.0965363082071565
"69",0.324478789091995
"70",0.177196674495186
"71",0.145863157869048
"72",0.479176508183902
"73",0.209403148570617
"74",0.34084864264403
"75",0.42679828446046
"76",0.224069233194162
"77",0
"78",0.261061952147727
"79",0.595543382312748
"80",0.712621973806263
"81",0.0711316823378573
"82",0.195902437193465
"83",0.218807542599022
"84",0.408128457869472
"85",0.491362439743909
"86",0.224498676234675
"87",0.644546699003285
"88",0.455782329968091
"89",0.391557012583649
"90",0.355523553599632
"91",0.392636947505597
"92",0.26740444805615
"93",0.504953101673574
"94",0.444210817802657
"95",0.154586225764023
"96",0.411248867900241
"97",0.534174664017367
"98",0.613431758309323
"99",0.598198230698947
"100",0.586448345870724
"101",0.668713693724464
"102",0.194194128443704
"103",0.411650022812292
"104",0.401884291116284
"105",0.374338603986261
"106",0.355562838771085
"107",0.295457437192677
"108",0.427288316268726
"109",0.445263191459104
"110",0.109136216525913
"111",0.412751968410603
"112",0.357061423388454
"113",0.422637370268012
"114",0.47387328427
"115",0.299372140762086
"116",0.309006176611166
"117",0.147159534852784
"118",0
"119",0.0605036892105184
"120",0.293572683778838
"121",0.286128067353844
"122",0.501191325701701
"123",0.300283034109332
"124",0.333424727705469
"125",0
"126",0.0824459600825404
"127",0.172894387600683
"128",0.411547919147708
"129",0.309352261339579
"130",0.628090103429655
"131",0.50312760245881
"132",0.52048376195888
"133",0.410257839794862
"134",0.443466795062915
"135",0.15440287263562
"136",0.39442177918974
"137",0.315430406717455
"138",0.324547109262792
"139",0.313461075416109
"140",0.101877837680853
"141",0.411543929870026
"142",0.00440715432305211
"143",0
"144",0.461824974005153
"145",0.473540416604388
"146",0.276132372720123
"147",0.14477555154543
"148",0.119434592176894
"149",0.489857817625189
"150",0.286332317559498
"151",0.319993386985325
"152",0.433561703160247
"153",0.543203338486784
"154",0
"155",0.22892006759081
"156",0.43783560411191
"157",0.599000875269203
"158",0.352356058928301
"159",0.409416331341199
"160",0.41715854790048
"161",0
"162",0.264376536247684
"163",0.145272331105063
"164",0.377529316605603
"165",0.387827701522621
"166",0.407262910951445
"167",0.563481879670921
"168",0
"169",0.21324602130083
"170",0.138709633779803
"171",0.614434516853247
